path	node	rank
Eukaryota;Amoebozoa;Tubulinea;Euamoebida;Glaeseria	Glaeseria	genus
Eukaryota;Amoebozoa;Tubulinea;Euamoebida;Hartmannella	Hartmannella	genus
Eukaryota;Amoebozoa;Tubulinea;Euamoebida;Saccamoeba	Saccamoeba	genus
Eukaryota;Amoebozoa;Tubulinea;Incertae Sedis	Incertae Sedis	class
Eukaryota;Amoebozoa;Tubulinea;Incertae Sedis;Pyxidicula	Pyxidicula	genus
Eukaryota;Amoebozoa;Tubulinea;Leptomyxida	Leptomyxida	class
Eukaryota;Amoebozoa;Tubulinea;Leptomyxida;Flabellula	Flabellula	genus
Eukaryota;Amoebozoa;Tubulinea;Leptomyxida;Leptomyxa	Leptomyxa	genus
Eukaryota;Amoebozoa;Tubulinea;Leptomyxida;NETC3-I	NETC3-I	genus
Eukaryota;Amoebozoa;Tubulinea;Leptomyxida;Paraflabellula	Paraflabellula	genus
Eukaryota;Amoebozoa;Tubulinea;Leptomyxida;Rhizamoeba	Rhizamoeba	genus
Eukaryota;Amoebozoa;WIM5	WIM5	phylum
Eukaryota;Amoebozoa;WIM5;WIM 1 lineage	WIM 1 lineage	class
Eukaryota;Amoebozoa;WIM5;WIM 5 lineage	WIM 5 lineage	class
Eukaryota;Archaeplastida	Archaeplastida	major_clade
Eukaryota;Archaeplastida;Chloroplastida	Chloroplastida	kingdom
Eukaryota;Archaeplastida;Chloroplastida;Charophyta	Charophyta	subkingdom
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Amb-18S-504	Amb-18S-504	order
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Klebsormidiales	Klebsormidiales	order
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Klebsormidiales;Entransia	Entransia	genus
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Klebsormidiales;Hormidiella	Hormidiella	genus
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Klebsormidiales;Klebsormidium	Klebsormidium	genus
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Mesostigma	Mesostigma	genus
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta	Phragmoplastophyta	phylum
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Coleochaetophyceae	Coleochaetophyceae	subphylum
