path	node	rank
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Candidatus Halobonum;	Candidatus Halobonum	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haladaptatus;	Haladaptatus	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halalkalicoccus;	Halalkalicoccus	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halapricum;	Halapricum	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halarchaeum;	Halarchaeum	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloarchaeobius;	Haloarchaeobius	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloarcula;	Haloarcula	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacterium;	Halobacterium	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobaculum;	Halobaculum	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobellus;	Halobellus	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobiforma;	Halobiforma	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halococcus;	Halococcus	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloferax;	Haloferax	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halogeometricum;	Halogeometricum	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halogranum;	Halogranum	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halohasta;	Halohasta	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halolamina;	Halolamina	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halomarina;	Halomarina	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halomicroarcula;	Halomicroarcula	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halomicrobium;	Halomicrobium	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halonotius;	Halonotius	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halopelagius;	Halopelagius	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halopenitus;	Halopenitus	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halopiger;	Halopiger	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloplanus;	Haloplanus	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloquadratum;	Haloquadratum	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halorhabdus;	Halorhabdus	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halorientalis;	Halorientalis	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halorubellus;	Halorubellus	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halorubrum;	Halorubrum	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halorussus;	Halorussus	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halosimplex;	Halosimplex	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halostagnicola;	Halostagnicola	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloterrigena;	Haloterrigena	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halovenus;	Halovenus	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halovivax;	Halovivax	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natrialba;	Natrialba	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natrinema;	Natrinema	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natronoarchaeum;	Natronoarchaeum	genus
